author,lat,lon,habitat_type
zooper: EMP,38.0753,-121.6777,perennial instream
zooper: EMP,38.048365,-121.69404,perennial instream
zooper: EMP,38.0482,-121.6932,perennial instream
zooper: EMP,38.03732,-121.705785,perennial instream
zooper: EMP,38.0281,-121.7473,perennial instream
zooper: EMP,38.0563,-121.6841,perennial instream
zooper: EMP,38.0284,-121.7513,perennial instream
zooper: EMP,38.0541,-121.6885,perennial instream
zooper: EMP,38.0284,-121.7692,perennial instream
zooper: EMP,38.024,-121.7925,perennial instream
zooper: EMP,38.0274,-121.744,perennial instream
zooper: EMP,38.0219,-121.7532,perennial instream
zooper: EMP,38.0259,-121.7809,perennial instream
zooper: EMP,38.0565,-121.685,perennial instream
zooper: FMWT,38.02308,-121.79868,perennial instream
zooper: FMWT,38.0512,-121.69305,perennial instream
zooper: FMWT,38.03528,-121.83875,perennial instream
zooper: FMWT,38.0913,-121.57587,perennial instream
zooper: FMWT,38.05412,-121.51653,perennial instream
zooper: FMWT,38.08792,-121.64883,perennial instream
zooper: FMWT,38.00228,-121.45037,perennial instream
zooper: FMWT,37.96883,-121.37172,perennial instream
zooper: FMWT,38.10572,-121.49525,perennial instream
zooper: FMWT,37.94662,-121.53475,perennial instream
zooper: FMWT,38.0205,-121.58255,perennial instream
zooper: FMWT,37.949,-121.55908,perennial instream
zooper: FRP,38.02375735,-121.8272565,perennial instream
zooper: FRP,38.0947,-121.59039,perennial instream
zooper: FRP,38.04218957,-121.8444517,perennial instream
zooper: FRP,38.03794338,-121.8442846,perennial instream
zooper: FRP,38.02278941,-121.8294301,perennial instream
zooper: FRP,38.02188756,-121.8336971,perennial instream
zooper: FRP,38.02191299,-121.8253262,perennial instream
zooper: FRP,38.08988506,-121.7090585,perennial instream
zooper: FRP,38.02324421,-121.8333619,perennial instream
zooper: FRP,38.0430953,-121.7992028,perennial instream
zooper: FRP,38.024821,-121.82609,perennial instream
zooper: FRP,38.04592853,-121.847501,perennial instream
zooper: FRP,38.08183,-121.72399,perennial instream
zooper: FRP,38.08558,-121.70901,perennial instream
zooper: FRP,38.08307,-121.72206,perennial instream
zooper: FRP,38.08766,-121.71127,perennial instream
zooper: STN,38.0205618811,-121.79400495,perennial instream
zooper: STN,37.9622610021,-121.364003488,perennial instream
zooper: STN,38.1048055556,-121.492,perennial instream
zooper: STN,37.8593055556,-121.568805556,perennial instream
zooper: STN,37.998358703,-121.444004722,perennial instream
zooper: STN,38.0886595205,-121.640508478,perennial instream
zooper: STN,38.0539573964,-121.686002605,perennial instream
zooper: STN,38.08,-121.569805556,perennial instream
zooper: STN,38.0539568689,-121.51100604,perennial instream
zooper: STN,38.0261613097,-121.583005538,perennial instream
zooper: STN,37.9715,-121.52,perennial instream
zooper: STN,37.940559818,-121.559002744,perennial instream
zooper: 20mm,38.053777777777775,-121.69302777777779,perennial instream
zooper: 20mm,37.96641666666667,-121.36855555555555,perennial instream
zooper: 20mm,38.087138888888894,-121.57113888888888,perennial instream
zooper: 20mm,38.08991666666667,-121.63991666666668,perennial instream
zooper: 20mm,38.02038888888889,-121.58266666666667,perennial instream
zooper: 20mm,38.05002777777778,-121.50647222222223,perennial instream
zooper: 20mm,37.859,-121.56713888888889,perennial instream
zooper: 20mm,37.94427777777778,-121.56788888888889,perennial instream
zooper: 20mm,37.9715,-121.52,perennial instream
zooper: 20mm,38.04861111111111,-121.79738888888889,perennial instream
zooper: 20mm,38.10519444444444,-121.49458333333334,perennial instream
zooper: 20mm,38.04625,-121.6185,perennial instream
zooper: 20mm,38.04369444444444,-121.844,perennial instream
zooper: 20mm,38.005,-121.45302777777778,perennial instream
zooper: 20mm,38.016444444444446,-121.79130555555555,perennial instream
zooper: 20mm,38.020833333333336,-121.7303888888889,perennial instream
